Rda_left	Rda_right	prda	prda_error
0	20	0.027103079	0.015054184
20	30	0.034015272	0.009926083
30	32	0.010006673	0.002164533
32	34	0.011469899	0.002286822
34	36	0.013154755	0.00249112
36	38	0.01509318	0.002806911
38	40	0.017320269	0.003253424
40	42	0.019873752	0.003835001
42	44	0.022792883	0.004541189
44	46	0.026116429	0.005348443
46	48	0.029879283	0.006221364
48	50	0.034107055	0.00711414
50	52	0.038807681	0.007974681
52	54	0.043958825	0.008755273
54	56	0.049489431	0.009435048
56	58	0.05525358	0.010059348
58	60	0.060994912	0.010789825
60	62	0.066301216	0.011916298
62	64	0.0705528	0.01372178
64	66	0.072878205	0.01614771
66	68	0.072152549	0.01835102
68	70	0.067115765	0.018326524
70	72	0.056754913	0.016447356
72	74	0.041150771	0.027557799
74	76	0.022822571	0.029014158
76	78	0.007518869	0.02018369
78	80	0.000765376	0.010071308
80	100	2.09024E-06	0.008932531
100	200	0	3.8014E-13

