Rda_left	Rda_right	prda	prda_error
0	20	0.037988744	0.023472543
20	30	0.103543177	0.014390111
30	32	0.032363361	0.003876779
32	34	0.036225879	0.004255935
34	36	0.039792985	0.00448419
36	38	0.042924057	0.004518583
38	40	0.045496077	0.004368446
40	42	0.047411847	0.004089274
42	44	0.048605954	0.003774019
44	46	0.049048003	0.003533204
46	48	0.048743	0.003451622
48	50	0.047729044	0.003537426
50	52	0.046072778	0.00371987
52	54	0.043863217	0.003901372
54	56	0.041204648	0.004003651
56	58	0.038209309	0.003983033
58	60	0.034990468	0.003828873
60	62	0.031656387	0.003557648
62	64	0.0283055	0.003206949
64	66	0.025022965	0.002829903
66	68	0.02187861	0.002488427
68	70	0.018926163	0.002240518
70	72	0.016203569	0.002117653
72	74	0.013734164	0.002105738
74	76	0.011528435	0.002155588
76	78	0.009586135	0.002214134
78	80	0.007898519	0.002244475
80	100	0.028458138	0.016016343
100	200	0.002129016	0.004389626


