Rda_left	Rda_right	prda	prda_error
0	20	0.072372359	0.011722854
20	30	0.085928236	0.007716884
30	32	0.023847889	0.002541635
32	34	0.026540845	0.002917223
34	36	0.029423764	0.003280162
36	38	0.032472921	0.003612282
38	40	0.035649843	0.003901548
40	42	0.038897623	0.004148068
42	44	0.042137008	0.004371825
44	46	0.045262603	0.00461878
46	48	0.048139771	0.004956633
48	50	0.050603138	0.005449462
50	52	0.052458007	0.006114229
52	54	0.053486482	0.006883923
54	56	0.053460499	0.007596603
56	58	0.052164198	0.00800612
58	60	0.049427638	0.007814971
60	62	0.045172258	0.006776783
62	64	0.039464843	0.005094674
64	66	0.032570196	0.004797731
66	68	0.024983101	0.00760811
68	70	0.017409634	0.010291263
70	72	0.010663791	0.010137621
72	74	0.005462887	0.007825603
74	76	0.002163878	0.005294293
76	78	0.000581103	0.003260935
78	80	8.34519E-05	0.001928398
80	100	4.00149E-06	0.002270274
100	200	0	6.77288E-09

