Rda_left	Rda_right	prda	prda_error
0	20	0.045755634	0.016197376
20	30	0.08280841	0.008019278
30	32	0.02563022	0.002400183
32	34	0.029289754	0.00284529
34	36	0.033129219	0.003279977
36	38	0.037060795	0.003643656
38	40	0.040970817	0.0038903
40	42	0.044720704	0.003996916
42	44	0.048150475	0.003975463
44	46	0.051085378	0.003885529
46	48	0.053345889	0.003835459
48	50	0.054760949	0.00394367
50	52	0.055183803	0.004253489
52	54	0.054509111	0.004682003
54	56	0.052689421	0.005065067
56	58	0.049748503	0.005234404
58	60	0.045788859	0.005073361
60	62	0.040990943	0.004562546
62	64	0.035602473	0.003840703
64	66	0.029917659	0.003283644
66	68	0.024248116	0.003359018
68	70	0.018889221	0.003982116
70	72	0.014087292	0.004607392
72	74	0.010013554	0.004846203
74	76	0.00675005	0.00458404
76	78	0.004290324	0.00392061
78	80	0.002554379	0.003071253
80	100	0.002687487	0.006691418
100	200	3.90363E-09	5.173E-05

