Rda_left	Rda_right	prda	prda_error
0	20	0.007964341	0.010595785
20	30	0.015170452	0.011608121
30	32	0.005085531	0.002936181
32	34	0.006068786	0.003110151
34	36	0.007216959	0.003264631
36	38	0.008549986	0.003405702
38	40	0.010087791	0.003549782
40	42	0.011849358	0.003725007
42	44	0.013851502	0.003967727
44	46	0.016107291	0.004311999
46	48	0.018624108	0.004775005
48	50	0.021401351	0.005346545
50	52	0.024427809	0.005988161
52	54	0.027678811	0.006639854
54	56	0.03111331	0.007229478
56	58	0.034671156	0.007682482
58	60	0.038270901	0.007932316
60	62	0.041808596	0.007932961
62	64	0.045158102	0.007675637
64	66	0.048173522	0.007212601
66	68	0.050694317	0.006689044
68	70	0.052553566	0.006362104
70	72	0.053589557	0.006521152
72	74	0.053660482	0.007260144
74	76	0.052661372	0.008367338
76	78	0.050541683	0.009487837
78	80	0.047321149	0.010296791
80	100	0.20230892	0.079385704
100	200	0.002210741	0.01205935

