Rda_left	Rda_right	prda	prda_error
0	20	0.161391316	0.033123405
20	30	0.159308728	0.032709733
30	32	0.037891087	0.009905766
32	34	0.039401685	0.010864523
34	36	0.040583266	0.011621827
36	38	0.041383353	0.012101751
38	40	0.041757081	0.012242935
40	42	0.041670227	0.012008046
42	44	0.041102059	0.011392953
44	46	0.040047736	0.010434699
46	48	0.038520016	0.009218105
48	50	0.036550029	0.00788229
50	52	0.034186939	0.006628163
52	54	0.031496359	0.00571288
54	56	0.028557532	0.00536688
56	58	0.025459373	0.005608197
58	60	0.022295624	0.00621077
60	62	0.019159481	0.006905704
62	64	0.016138141	0.007500134
64	66	0.013307774	0.007871164
66	68	0.010729397	0.007944405
68	70	0.008446067	0.007692041
70	72	0.006481643	0.007140568
72	74	0.004841224	0.006369455
74	76	0.003513118	0.005489232
76	78	0.002472063	0.004605098
78	80	0.001683232	0.003787607
80	100	0.0027557	0.012815453
100	200	1.81948E-06	0.000866829

