Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.26898	0.06692
30.00000	31.88555	0.03938	0.00297
31.88555	33.77110	0.04346	0.00297
33.77110	35.65665	0.04566	0.00277
35.65665	37.54220	0.04637	0.00272
37.54220	39.42775	0.04638	0.00290
39.42775	41.31330	0.04672	0.00308
41.31330	43.19884	0.04784	0.00313
43.19884	45.08439	0.04972	0.00309
45.08439	46.96994	0.05180	0.00315
46.96994	48.85549	0.05323	0.00324
48.85549	50.74104	0.05273	0.00332
50.74104	52.62659	0.04931	0.00326
52.62659	54.51214	0.04285	0.00358
54.51214	56.39769	0.03379	0.00364
56.39769	58.28324	0.02397	0.00317
58.28324	60.16879	0.01539	0.00256
60.16879	62.05434	0.00913	0.00205
62.05434	63.93989	0.00524	0.00174
63.93989	65.82543	0.00317	0.00164
65.82543	67.71098	0.00213	0.00158
67.71098	69.59653	0.00166	0.00146
69.59653	71.48208	0.00151	0.00131
71.48208	73.36763	0.00144	0.00125
73.36763	75.25318	0.00143	0.00125
75.25318	77.13873	0.00139	0.00120
77.13873	79.02428	0.00134	0.00115
79.02428	137.91445	0.02882	0.02286
