Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.14627	0.05360
30.00000	31.88555	0.01282	0.00236
31.88555	33.77110	0.02191	0.00271
33.77110	35.65665	0.03138	0.00305
35.65665	37.54220	0.03834	0.00304
37.54220	39.42775	0.04132	0.00285
39.42775	41.31330	0.04140	0.00300
41.31330	43.19884	0.04102	0.00337
43.19884	45.08439	0.04175	0.00366
45.08439	46.96994	0.04371	0.00386
46.96994	48.85549	0.04584	0.00394
48.85549	50.74104	0.04678	0.00396
50.74104	52.62659	0.04548	0.00394
52.62659	54.51214	0.04199	0.00421
54.51214	56.39769	0.03721	0.00462
56.39769	58.28324	0.03228	0.00484
58.28324	60.16879	0.02808	0.00470
60.16879	62.05434	0.02511	0.00432
62.05434	63.93989	0.02331	0.00400
63.93989	65.82543	0.02237	0.00398
65.82543	67.71098	0.02174	0.00421
67.71098	69.59653	0.02100	0.00455
69.59653	71.48208	0.01990	0.00477
71.48208	73.36763	0.01826	0.00470
73.36763	75.25318	0.01623	0.00445
75.25318	77.13873	0.01396	0.00407
77.13873	79.02428	0.01175	0.00368
79.02428	137.91445	0.08072	0.04970
