Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.14323	0.06532
30.00000	31.88555	0.00300	0.00210
31.88555	33.77110	0.00451	0.00239
33.77110	35.65665	0.00679	0.00256
35.65665	37.54220	0.00953	0.00251
37.54220	39.42775	0.01228	0.00224
39.42775	41.31330	0.01494	0.00234
41.31330	43.19884	0.01766	0.00304
43.19884	45.08439	0.02088	0.00372
45.08439	46.96994	0.02462	0.00402
46.96994	48.85549	0.02911	0.00382
48.85549	50.74104	0.03433	0.00396
50.74104	52.62659	0.03982	0.00477
52.62659	54.51214	0.04528	0.00630
54.51214	56.39769	0.05063	0.00771
56.39769	58.28324	0.05561	0.00822
58.28324	60.16879	0.05965	0.00787
60.16879	62.05434	0.06228	0.00739
62.05434	63.93989	0.06284	0.00768
63.93989	65.82543	0.06066	0.00865
65.82543	67.71098	0.05507	0.00917
67.71098	69.59653	0.04682	0.00876
69.59653	71.48208	0.03733	0.00780
71.48208	73.36763	0.02812	0.00669
73.36763	75.25318	0.02028	0.00587
75.25318	77.13873	0.01425	0.00509
77.13873	79.02428	0.00992	0.00443
79.02428	137.91445	0.05370	0.04054
