Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.27766	0.07061
30.00000	31.88555	0.03494	0.00328
31.88555	33.77110	0.03600	0.00296
33.77110	35.65665	0.03641	0.00286
35.65665	37.54220	0.03650	0.00317
37.54220	39.42775	0.03683	0.00365
39.42775	41.31330	0.03801	0.00373
41.31330	43.19884	0.04022	0.00323
43.19884	45.08439	0.04333	0.00279
45.08439	46.96994	0.04632	0.00336
46.96994	48.85549	0.04790	0.00470
48.85549	50.74104	0.04747	0.00575
50.74104	52.62659	0.04484	0.00606
52.62659	54.51214	0.04045	0.00589
54.51214	56.39769	0.03508	0.00563
56.39769	58.28324	0.03002	0.00509
58.28324	60.16879	0.02584	0.00445
60.16879	62.05434	0.02239	0.00397
62.05434	63.93989	0.01931	0.00375
63.93989	65.82543	0.01639	0.00381
65.82543	67.71098	0.01348	0.00380
67.71098	69.59653	0.01050	0.00361
69.59653	71.48208	0.00773	0.00340
71.48208	73.36763	0.00545	0.00304
73.36763	75.25318	0.00373	0.00253
75.25318	77.13873	0.00251	0.00205
77.13873	79.02428	0.00177	0.00161
79.02428	137.91445	0.01797	0.01296
