Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.14299	0.06426
30.00000	31.88555	0.00163	0.00149
31.88555	33.77110	0.00187	0.00168
33.77110	35.65665	0.00251	0.00191
35.65665	37.54220	0.00352	0.00203
37.54220	39.42775	0.00475	0.00204
39.42775	41.31330	0.00626	0.00202
41.31330	43.19884	0.00826	0.00218
43.19884	45.08439	0.01073	0.00264
45.08439	46.96994	0.01352	0.00316
46.96994	48.85549	0.01620	0.00336
48.85549	50.74104	0.01836	0.00333
50.74104	52.62659	0.01962	0.00343
52.62659	54.51214	0.01986	0.00402
54.51214	56.39769	0.01928	0.00486
56.39769	58.28324	0.01839	0.00540
58.28324	60.16879	0.01742	0.00542
60.16879	62.05434	0.01671	0.00504
62.05434	63.93989	0.01644	0.00449
63.93989	65.82543	0.01663	0.00408
65.82543	67.71098	0.01729	0.00405
67.71098	69.59653	0.01827	0.00444
69.59653	71.48208	0.01940	0.00513
71.48208	73.36763	0.02047	0.00592
73.36763	75.25318	0.02135	0.00662
75.25318	77.13873	0.02195	0.00710
77.13873	79.02428	0.02228	0.00735
79.02428	137.91445	0.50049	0.16085
