2832 3.40000e-05
1825 1.28000e-04
2405 7.80000e-05
1224 1.98000e-04
1969 1.12000e-04
813 2.80000e-04
1466 1.64000e-04
2068 1.04000e-04
2379 8.20000e-05
2406 7.80000e-05
779 2.88000e-04
1225 1.98000e-04
1068 2.22000e-04
745 2.98000e-04
1644 1.48000e-04
542 3.78000e-04
616 3.44000e-04
1411 1.70000e-04
2485 6.60000e-05
2415 7.60000e-05
1169 2.04000e-04
2176 9.80000e-05
2706 5.00000e-05
1686 1.44000e-04
1995 1.10000e-04
649 3.30000e-04
1349 1.80000e-04
1645 1.48000e-04
1069 2.22000e-04
2109 1.02000e-04
1076 2.20000e-04
267 5.98000e-04
438 4.38000e-04
1138 2.10000e-04
1259 1.94000e-04
935 2.52000e-04
901 2.58000e-04
1116 2.12000e-04
1910 1.18000e-04
1924 1.16000e-04
1117 2.12000e-04
839 2.72000e-04
1911 1.18000e-04
832 2.74000e-04
2486 6.60000e-05
751 2.96000e-04
1619 1.50000e-04
2541 6.20000e-05
1278 1.92000e-04
1170 2.04000e-04
2621 5.60000e-05
1366 1.76000e-04
1077 2.20000e-04
321 5.36000e-04
2542 6.20000e-05
586 3.56000e-04
552 3.74000e-04
1776 1.34000e-04
865 2.66000e-04
1872 1.22000e-04
243 6.50000e-04
2543 6.20000e-05
1855 1.24000e-04
1186 2.02000e-04
483 4.06000e-04
2209 9.60000e-05
570 3.66000e-04
2416 7.60000e-05
1367 1.76000e-04
760 2.94000e-04
701 3.10000e-04
405 4.60000e-04
1664 1.46000e-04
1730 1.40000e-04
426 4.46000e-04
136 1.08400e-03
458 4.24000e-04
2110 1.02000e-04
2675 5.20000e-05
772 2.90000e-04
325 5.32000e-04
352 5.08000e-04
1339 1.82000e-04
520 3.90000e-04
611 3.46000e-04
1522 1.58000e-04
187 8.36000e-04
1412 1.70000e-04
1873 1.22000e-04
1118 2.12000e-04
554 3.72000e-04
1970 1.12000e-04
850 2.70000e-04
2393 8.00000e-05
338 5.20000e-04
1826 1.28000e-04
1856 1.24000e-04
1078 2.20000e-04
1089 2.18000e-04
124 1.14400e-03
1031 2.30000e-04
87 1.49400e-03
523 3.88000e-04
1079 2.20000e-04
973 2.44000e-04
2728 4.80000e-05
2042 1.06000e-04
571 3.66000e-04
387 4.78000e-04
181 8.48000e-04
188 8.32000e-04
215 7.44000e-04
472 4.14000e-04
503 3.98000e-04
29 2.92000e-03
543 3.78000e-04
44 2.19400e-03
30 2.86000e-03
185 8.44000e-04
118 1.22400e-03
962 2.46000e-04
51 2.03600e-03
682 3.18000e-04
105 1.30000e-03
1090 2.18000e-04
355 5.06000e-04
59 1.82800e-03
1008 2.36000e-04
89 1.44000e-03
85 1.50200e-03
1646 1.48000e-04
88 1.44400e-03
121 1.19800e-03
307 5.50000e-04
1368 1.76000e-04
193 8.16000e-04
410 4.56000e-04
376 4.86000e-04
129 1.11000e-03
128 1.11600e-03
473 4.14000e-04
65 1.74000e-03
101 1.32200e-03
1040 2.28000e-04
152 9.92000e-04
549 3.76000e-04
1207 2.00000e-04
318 5.38000e-04
1893 1.20000e-04
1080 2.20000e-04
281 5.84000e-04
974 2.44000e-04
612 3.46000e-04
2417 7.60000e-05
