Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.43741	0.00696
30.00000	31.88555	0.05606	0.00112
31.88555	33.77110	0.04713	0.00092
33.77110	35.65665	0.03965	0.00092
35.65665	37.54220	0.03550	0.00108
37.54220	39.42775	0.03458	0.00123
39.42775	41.31330	0.03553	0.00123
41.31330	43.19884	0.03696	0.00114
43.19884	45.08439	0.03758	0.00101
45.08439	46.96994	0.03614	0.00111
46.96994	48.85549	0.03213	0.00135
48.85549	50.74104	0.02610	0.00139
50.74104	52.62659	0.01953	0.00126
52.62659	54.51214	0.01432	0.00133
54.51214	56.39769	0.01148	0.00176
56.39769	58.28324	0.01073	0.00203
58.28324	60.16879	0.01166	0.00202
60.16879	62.05434	0.01320	0.00167
62.05434	63.93989	0.01416	0.00131
63.93989	65.82543	0.01386	0.00143
65.82543	67.71098	0.01207	0.00176
67.71098	69.59653	0.00902	0.00186
69.59653	71.48208	0.00563	0.00161
71.48208	73.36763	0.00304	0.00108
73.36763	75.25318	0.00154	0.00063
75.25318	77.13873	0.00076	0.00034
77.13873	79.02428	0.00042	0.00024
79.02428	137.91445	0.00671	0.00094
