Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.14107	0.00613
30.00000	31.88555	0.01276	0.00089
31.88555	33.77110	0.02193	0.00102
33.77110	35.65665	0.03152	0.00115
35.65665	37.54220	0.03849	0.00115
37.54220	39.42775	0.04136	0.00108
39.42775	41.31330	0.04143	0.00113
41.31330	43.19884	0.04099	0.00128
43.19884	45.08439	0.04164	0.00138
45.08439	46.96994	0.04364	0.00146
46.96994	48.85549	0.04577	0.00149
48.85549	50.74104	0.04675	0.00150
50.74104	52.62659	0.04557	0.00149
52.62659	54.51214	0.04208	0.00159
54.51214	56.39769	0.03714	0.00175
56.39769	58.28324	0.03214	0.00183
58.28324	60.16879	0.02797	0.00178
60.16879	62.05434	0.02506	0.00163
62.05434	63.93989	0.02323	0.00151
63.93989	65.82543	0.02226	0.00151
65.82543	67.71098	0.02166	0.00160
67.71098	69.59653	0.02094	0.00172
69.59653	71.48208	0.01984	0.00181
71.48208	73.36763	0.01818	0.00178
73.36763	75.25318	0.01612	0.00168
75.25318	77.13873	0.01389	0.00154
77.13873	79.02428	0.01167	0.00139
79.02428	137.91445	0.07621	0.00377
