Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.28837	0.05998
30.00000	31.88555	0.04752	0.00335
31.88555	33.77110	0.04938	0.00312
33.77110	35.65665	0.04896	0.00298
35.65665	37.54220	0.04714	0.00317
37.54220	39.42775	0.04509	0.00352
39.42775	41.31330	0.04374	0.00349
41.31330	43.19884	0.04358	0.00292
43.19884	45.08439	0.04425	0.00269
45.08439	46.96994	0.04446	0.00317
46.96994	48.85549	0.04315	0.00371
48.85549	50.74104	0.03982	0.00355
50.74104	52.62659	0.03474	0.00292
52.62659	54.51214	0.02895	0.00281
54.51214	56.39769	0.02382	0.00369
56.39769	58.28324	0.01986	0.00434
58.28324	60.16879	0.01712	0.00427
60.16879	62.05434	0.01540	0.00359
62.05434	63.93989	0.01434	0.00292
63.93989	65.82543	0.01333	0.00284
65.82543	67.71098	0.01184	0.00329
67.71098	69.59653	0.01009	0.00373
69.59653	71.48208	0.00808	0.00376
71.48208	73.36763	0.00603	0.00335
73.36763	75.25318	0.00417	0.00264
75.25318	77.13873	0.00277	0.00203
77.13873	79.02428	0.00181	0.00153
79.02428	137.91445	0.02335	0.01823
