Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.16035	0.00698
30.00000	31.88555	0.01887	0.00154
31.88555	33.77110	0.01693	0.00126
33.77110	35.65665	0.01678	0.00143
35.65665	37.54220	0.01947	0.00137
37.54220	39.42775	0.02482	0.00119
39.42775	41.31330	0.03068	0.00166
41.31330	43.19884	0.03461	0.00189
43.19884	45.08439	0.03586	0.00146
45.08439	46.96994	0.03521	0.00151
46.96994	48.85549	0.03523	0.00237
48.85549	50.74104	0.03767	0.00262
50.74104	52.62659	0.04297	0.00209
52.62659	54.51214	0.05004	0.00186
54.51214	56.39769	0.05634	0.00280
56.39769	58.28324	0.05886	0.00371
58.28324	60.16879	0.05626	0.00356
60.16879	62.05434	0.04954	0.00268
62.05434	63.93989	0.04067	0.00204
63.93989	65.82543	0.03192	0.00205
65.82543	67.71098	0.02458	0.00229
67.71098	69.59653	0.01889	0.00234
69.59653	71.48208	0.01476	0.00213
71.48208	73.36763	0.01180	0.00179
73.36763	75.25318	0.00962	0.00146
75.25318	77.13873	0.00800	0.00125
77.13873	79.02428	0.00668	0.00111
79.02428	137.91445	0.05420	0.00340
